[-] Please include http:// or https:// in the domain.
[*] Downloading wordlist from:
https://raw.githubusercontent.com/danielmiessler/SecLists/master/Discovery/Web-Content/common.txt
[+] Wordlist loaded successfully.


[*] Enumerating paths on: http://www.google.com

[+] Found: http://www.google.com/toolbar (301)
[+] Found: http://www.google.com/tools (302)
[+] Found: http://www.google.com/tr (301)
[+] Found: http://www.google.com/translate (301)
[+] Found: http://www.google.com/trends (301)
[+] Found: http://www.google.com/tt (301)
[+] Found: http://www.google.com/tw (301)
[+] Found: http://www.google.com/tv (302)
[+] Found: http://www.google.com/travel (302)
[+] Found: http://www.google.com/uk (301)
[+] Found: http://www.google.com/vi (301)
[+] Found: http://www.google.com/video (301)
[+] Found: http://www.google.com/views (301)
[+] Found: http://www.google.com/webmaster (301)
[+] Found: http://www.google.com/webmasters (301)
[+] Found: http://www.google.com/wedding (301)
[+] Found: http://www.google.com/whatsnew (301)
[+] Found: http://www.google.com/wifi (302)
[+] Found: http://www.google.com/work (301)
[+] Found: http://www.google.com/wml (200)
[+] Found: http://www.google.com/xhtml (200)
